age,language,sex,production
17,Cantonese,Male,19
29,Cantonese,Female,600
16,Cantonese,Male,27
16,Cantonese,Male,29
16,Cantonese,Male,8
16,Cantonese,Female,4
16,Cantonese,Female,7
16,Cantonese,Female,36
16,Cantonese,Female,3
16,Cantonese,Female,74
17,Cantonese,Male,113
17,Cantonese,Male,61
17,Cantonese,Male,25
17,Cantonese,Male,6
17,Cantonese,Male,27
17,Cantonese,Male,66
17,Cantonese,Male,8
17,Cantonese,Female,7
17,Cantonese,Female,53
17,Cantonese,Female,44
17,Cantonese,Female,2
17,Cantonese,Female,18
17,Cantonese,Female,9
17,Cantonese,Female,214
18,Cantonese,Male,31
18,Cantonese,Male,31
18,Cantonese,Male,60
18,Cantonese,Male,150
18,Cantonese,Male,17
18,Cantonese,Male,99
18,Cantonese,Male,219
18,Cantonese,Female,118
18,Cantonese,Female,109
18,Cantonese,Female,7
18,Cantonese,Female,101
18,Cantonese,Female,26
18,Cantonese,Female,105
18,Cantonese,Female,238
19,Cantonese,Male,8
19,Cantonese,Male,20
19,Cantonese,Male,7
19,Cantonese,Male,15
19,Cantonese,Male,9
19,Cantonese,Male,409
19,Cantonese,Male,121
19,Cantonese,Female,61
19,Cantonese,Female,17
19,Cantonese,Female,78
19,Cantonese,Female,107
19,Cantonese,Female,254
19,Cantonese,Female,169
19,Cantonese,Female,6
20,Cantonese,Male,198
20,Cantonese,Male,23
20,Cantonese,Male,202
20,Cantonese,Male,464
20,Cantonese,Male,126
20,Cantonese,Male,429
20,Cantonese,Male,23
20,Cantonese,Female,267
20,Cantonese,Female,151
20,Cantonese,Female,50
20,Cantonese,Female,323
20,Cantonese,Female,32
20,Cantonese,Female,102
20,Cantonese,Female,310
21,Cantonese,Male,2
21,Cantonese,Male,9
21,Cantonese,Male,328
21,Cantonese,Female,6
21,Cantonese,Female,191
21,Cantonese,Female,480
21,Cantonese,Female,206
21,Cantonese,Female,36
21,Cantonese,Female,12
22,Cantonese,Male,6
22,Cantonese,Male,85
22,Cantonese,Male,19
22,Cantonese,Male,144
22,Cantonese,Male,24
22,Cantonese,Male,495
22,Cantonese,Female,39
22,Cantonese,Female,616
22,Cantonese,Female,407
22,Cantonese,Female,392
23,Cantonese,Male,8
23,Cantonese,Male,145
23,Cantonese,Male,118
23,Cantonese,Male,183
23,Cantonese,Male,443
23,Cantonese,Female,13
23,Cantonese,Female,526
23,Cantonese,Female,372
23,Cantonese,Female,147
23,Cantonese,Female,565
23,Cantonese,Female,216
23,Cantonese,Female,165
24,Cantonese,Male,474
24,Cantonese,Male,241
24,Cantonese,Male,15
